Date(y-m-d),Time(H:M:S),Command(str),NominalA(V),NominalB(V),NominalC(V),NominalD(V),SizeA(kB),SizeB(kB),SizeC(kB),SizeD(kB),HoldTime(s),HoldVoltsA(V),HoldVoltsB(V),HoldVolts(C),HoldVolts(D),PatternA(dec),PatternB(dec),PatternC(dec),PatternD(dec),StatusA1(bool),StatusA2(bool),StatusA3(bool),StatusB1(bool),StatusB2(bool),StatusB3(bool),StatusC1(bool),StatusC2(bool),StatusC3(bool),StatusD1(bool),StatusD2(bool),StatusD3(bool),TotalA(#),TotalB(#),TotalC(#),TotalD(#),FaultsA1(#),FaultsA2(#),FaultsA3(#),FaultsB1(#),FaultsB2(#),FaultsB3(#),FaultsC1(#),FaultsC2(#),FaultsC3(#),FaultsD1(#),FaultsD2(#),FaultsD3(#),Output(file)
2021-10-06,14:19:45,STATUS,3.3,3.3,3.3,3.3,4096,4096,4096,4096,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-06,14:19:45,FILL,3.3,3.3,3.3,3.3,4096,4096,4096,4096,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-06,14:19:45,FILL,3.3,3.3,3.3,3.3,4096,4096,4096,4096,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-06,14:19:47,HOLD,3.3,3.3,3.3,3.3,4096,4096,4096,4096,2,0.5,1.0,1.5,2.0,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-06,14:19:49,HOLD,3.3,3.3,3.3,3.3,4096,4096,4096,4096,1.2102160453796387,0.6,0.8,1.0,1.2,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-06,14:19:49,SCAN,3.3,3.3,3.3,3.3,4096,4096,4096,4096,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3944448,3624960,3289088,3051520,1744896,2199552,2150400,1798144,1826816,1896448,1798144,1490944,1761280,1429504,1622016,nan,
2021-10-06,14:19:49,SCAN,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1031,786,739,729,500,531,489,379,407,455,352,387,379,367,362,nan,
2021-10-06,14:19:49,FILL,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,0,255,85,170,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-06,14:19:49,SAVE,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,data/temp/save.csv
2021-10-06,14:26:22,FILL,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,0,255,85,170,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-06,14:26:22,SAVE,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,data/temp/save.csv
2021-10-06,14:26:27,FILL,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
2021-10-06,14:26:27,CHECK,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3001,2741,2556,2155,1531,1470,1493,1425,1316,1293,1283,1273,1173,1094,1061,nan,data/temp/check.csv
2021-10-06,14:26:42,CHECK,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,2863,2830,2578,2296,1480,1383,1552,1392,1438,1282,1212,1366,1325,1242,1054,nan,data/temp/check.csv
2021-10-06,14:27:41,CHECK,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,2809,2685,2548,2289,1371,1438,1579,1370,1315,1368,1171,1377,1355,1145,1144,nan,data/temp/check.csv
2021-10-06,14:32:48,CHECK,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,2805,2787,2509,2263,1433,1372,1377,1336,1451,1402,1188,1321,1182,1133,1130,nan,data/temp/check.csv
2021-10-06,14:33:38,CHECK,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,2929,2665,2584,2355,1467,1462,1395,1315,1350,1477,1343,1241,1336,1184,1171,nan,data/temp/check.csv
2021-10-06,14:33:54,CHECK,3.3,3.3,3.3,3.3,1,1,1,1,,,,,,85,85,85,85,1,1,1,1,1,1,1,1,1,1,1,0,2941,2570,2505,2334,1421,1520,1588,1270,1300,1369,1327,1178,1177,1126,1208,nan,data/temp/check.csv
