m1 TID @ 17:35:29,m2 TID @ 17:35:29,m3 TID @ 17:35:29,m1 TID @ 17:35:30,m2 TID @ 17:35:30,m3 TID @ 17:35:30,m3 TID @ 17:35:31,m1 TID @ 17:35:31,m2 TID @ 17:35:31,m1 TID @ 17:35:32,m2 TID @ 17:35:32,m3 TID @ 17:35:32,m1 TID @ 17:35:33,m2 TID @ 17:35:33,m3 TID @ 17:35:33,m1 TID @ 17:35:34,m2 TID @ 17:35:34,m3 TID @ 17:35:34,m1 TID @ 17:35:35,m2 TID @ 17:35:35,m3 TID @ 17:35:35,m2 TID @ 17:35:36,m3 TID @ 17:35:36,m1 TID @ 17:35:36,m2 TID @ 17:35:37,m3 TID @ 17:35:37,m1 TID @ 17:35:37,m1 TID @ 17:35:38,m2 TID @ 17:35:38,m3 TID @ 17:35:38,m1 TID @ 17:35:39,m2 TID @ 17:35:39,m3 TID @ 17:35:39,m1 TID @ 17:35:40,m2 TID @ 17:35:40,m3 TID @ 17:35:40,m1 TID @ 17:35:41,m2 TID @ 17:35:41,m3 TID @ 17:35:41,m1 TID @ 17:35:42,m2 TID @ 17:35:42,m3 TID @ 17:35:42,m1 TID @ 17:35:43,m2 TID @ 17:35:43,m3 TID @ 17:35:43,m1 TID @ 17:35:44,m2 TID @ 17:35:44,m3 TID @ 17:35:44,m1 TID @ 17:35:46,m2 TID @ 17:35:46,m3 TID @ 17:35:46,m1 TID @ 17:35:47,m2 TID @ 17:35:47,m3 TID @ 17:35:47,m1 TID @ 17:35:48,m2 TID @ 17:35:48,m3 TID @ 17:35:48,m1 TID @ 17:35:49,m2 TID @ 17:35:49,m3 TID @ 17:35:49,m1 TID @ 17:35:50,m2 TID @ 17:35:50,m3 TID @ 17:35:50,m1 TID @ 17:35:51,m2 TID @ 17:35:51,m3 TID @ 17:35:51,m1 TID @ 17:35:52,m2 TID @ 17:35:52,m3 TID @ 17:35:52,m1 TID @ 17:35:53,m2 TID @ 17:35:53,m3 TID @ 17:35:53,m1 TID @ 17:35:54,m2 TID @ 17:35:54,m3 TID @ 17:35:54,m3 TID @ 17:35:55,m1 TID @ 17:35:55,m2 TID @ 17:35:55,m1 TID @ 17:35:56,m2 TID @ 17:35:56,m3 TID @ 17:35:56,m1 TID @ 17:35:57,m2 TID @ 17:35:57,m3 TID @ 17:35:57,m3 TID @ 17:35:58,m1 TID @ 17:35:58,m2 TID @ 17:35:58,m1 TID @ 17:35:59,m2 TID @ 17:35:59,m3 TID @ 17:35:59,m1 TID @ 17:36:00,m2 TID @ 17:36:00,m3 TID @ 17:36:00,m1 TID @ 17:36:01,m2 TID @ 17:36:01,m3 TID @ 17:36:01,m1 TID @ 17:36:02,m2 TID @ 17:36:02,m3 TID @ 17:36:02,m1 TID @ 17:36:03,m2 TID @ 17:36:03,m3 TID @ 17:36:03,m1 TID @ 17:36:04,m2 TID @ 17:36:04,m3 TID @ 17:36:04,m1 TID @ 17:36:05,m2 TID @ 17:36:05,m3 TID @ 17:36:05,m1 TID @ 17:36:06,m2 TID @ 17:36:06,m3 TID @ 17:36:06,m1 TID @ 17:36:07,m2 TID @ 17:36:07,m3 TID @ 17:36:07,m1 TID @ 17:36:08,m2 TID @ 17:36:08,m3 TID @ 17:36:08,m1 TID @ 17:36:09,m2 TID @ 17:36:09,m3 TID @ 17:36:09,m1 TID @ 17:36:10,m2 TID @ 17:36:10,m3 TID @ 17:36:10,m1 TID @ 17:36:11,m2 TID @ 17:36:11,m3 TID @ 17:36:11,m1 TID @ 17:36:12,m2 TID @ 17:36:12,m3 TID @ 17:36:12,m1 TID @ 17:36:13,m2 TID @ 17:36:13,m3 TID @ 17:36:13,m2 TID @ 17:36:14,m3 TID @ 17:36:14,m1 TID @ 17:36:14,m1 TID @ 17:36:15,m2 TID @ 17:36:15,m3 TID @ 17:36:15,m1 TID @ 17:36:16,m2 TID @ 17:36:16,m3 TID @ 17:36:16,m2 TID @ 17:36:17,m3 TID @ 17:36:17,m1 TID @ 17:36:17,m1 TID @ 17:36:18,m2 TID @ 17:36:18,m3 TID @ 17:36:18,m1 TID @ 17:36:19,m2 TID @ 17:36:19,m3 TID @ 17:36:19,m1 TID @ 17:36:20,m2 TID @ 17:36:20,m3 TID @ 17:36:20,m2 TID @ 17:36:21,m3 TID @ 17:36:21,m1 TID @ 17:36:21,m1 TID @ 17:36:22,m2 TID @ 17:36:22,m3 TID @ 17:36:22,m1 TID @ 17:36:23,m2 TID @ 17:36:23,m3 TID @ 17:36:23,m1 TID @ 17:36:24,m2 TID @ 17:36:24,m3 TID @ 17:36:24,m1 TID @ 17:36:25,m2 TID @ 17:36:25,m3 TID @ 17:36:25,m1 TID @ 17:36:26,m2 TID @ 17:36:26,m3 TID @ 17:36:26,m1 TID @ 17:36:27,m2 TID @ 17:36:27,m3 TID @ 17:36:27,m1 TID @ 17:36:28,m2 TID @ 17:36:28,m3 TID @ 17:36:28,m1 TID @ 17:36:29,m2 TID @ 17:36:29,m3 TID @ 17:36:29,m3 TID @ 17:36:30,m1 TID @ 17:36:30,m2 TID @ 17:36:30,m1 TID @ 17:36:31,m2 TID @ 17:36:31,m3 TID @ 17:36:31,m1 TID @ 17:36:32,m2 TID @ 17:36:32,m3 TID @ 17:36:32,m1 TID @ 17:36:33,m2 TID @ 17:36:33,m3 TID @ 17:36:33,m1 TID @ 17:36:34,m2 TID @ 17:36:34,m3 TID @ 17:36:34,m1 TID @ 17:36:35,m2 TID @ 17:36:35,m3 TID @ 17:36:35,m1 TID @ 17:36:36,m2 TID @ 17:36:36,m3 TID @ 17:36:36,m1 TID @ 17:36:37,m2 TID @ 17:36:37,m3 TID @ 17:36:37,m1 TID @ 17:36:38,m2 TID @ 17:36:38,m3 TID @ 17:36:38,m1 TID @ 17:36:39,m2 TID @ 17:36:39,m3 TID @ 17:36:39,m1 TID @ 17:36:40,m2 TID @ 17:36:40,m3 TID @ 17:36:40,m1 TID @ 17:36:41,m2 TID @ 17:36:41,m3 TID @ 17:36:41,m1 TID @ 17:36:42,m2 TID @ 17:36:42,m3 TID @ 17:36:42,m1 TID @ 17:36:43,m2 TID @ 17:36:43,m3 TID @ 17:36:43,m1 TID @ 17:36:44,m2 TID @ 17:36:44,m3 TID @ 17:36:44,m1 TID @ 17:36:45,m2 TID @ 17:36:45,m3 TID @ 17:36:45,m1 TID @ 17:36:46,m2 TID @ 17:36:46,m3 TID @ 17:36:46,m1 TID @ 17:36:47,m2 TID @ 17:36:47,m3 TID @ 17:36:47
16,83,1,16,83,1,1,16,83,16,83,1,16,83,1,16,83,1,16,243,1,211,1,16,211,1,16,16,211,1,16,211,1,16,211,1,16,243,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,1,16,211,16,211,1,16,83,1,1,16,83,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,16,83,1,83,1,16,16,83,1,16,83,1,83,1,16,16,83,1,16,211,1,16,211,1,211,1,16,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,1,16,211,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,211,1,16,243,1,16,243,1,16,211,1,16,211,1,16,211,1,16,83,1,16,83,1,16,83,1,16,115,1,16,83,1,16,83,1
233,105,249,201,105,249,249,201,105,201,105,249,201,105,249,201,105,249,201,105,249,105,249,201,105,249,201,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,249,201,105,253,253,201,105,201,105,253,201,105,253,253,201,105,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,105,253,201,201,105,253,201,105,253,105,253,201,201,105,253,201,105,253,201,105,253,105,253,201,201,105,253,201,105,253,201,105,253,217,105,253,201,105,253,201,105,253,201,105,253,201,105,253,253,201,105,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,217,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253,201,105,253
87,144,1,87,144,1,1,87,144,87,144,1,87,144,1,87,144,1,87,144,1,144,1,87,144,1,87,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,87,144,1,95,176,9,9,95,176,95,176,9,95,176,9,9,95,176,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,176,9,95,95,176,9,95,176,9,176,9,95,95,176,9,95,176,9,95,176,9,176,9,95,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,9,95,176,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9,95,176,9
255,223,234,255,223,234,234,255,223,255,223,234,255,223,234,255,223,234,255,223,234,223,234,255,255,234,255,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,223,234,234,255,223,255,223,234,255,223,234,234,255,223,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,223,234,255,255,223,234,255,223,234,223,234,255,255,223,234,255,223,234,255,223,234,223,234,255,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234,255,255,234,255,255,234,255,223,234,234,255,223,255,223,234,255,223,234,255,223,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,255,234,255,223,234,255,223,234,255,223,234,255,223,234,255,223,234
172,58,201,172,58,201,201,172,58,172,58,201,172,58,137,172,58,137,172,58,137,58,137,172,58,137,172,172,58,137,172,58,137,172,58,137,172,58,137,172,58,137,172,58,137,172,59,137,172,59,137,172,59,137,172,27,137,172,27,137,172,27,137,172,27,137,172,58,137,172,58,137,172,58,105,41,172,58,172,58,105,172,58,41,41,172,58,172,58,41,172,26,41,172,58,41,172,58,41,172,26,41,172,26,41,172,26,41,172,58,41,172,58,41,172,58,41,172,58,41,172,58,41,44,58,41,172,58,41,172,58,41,58,41,172,172,58,41,172,26,41,58,41,172,172,58,41,172,58,41,172,58,41,58,105,172,172,58,105,172,58,41,172,58,41,172,58,41,172,58,41,172,58,41,172,58,41,172,58,41,41,172,58,172,58,41,172,58,41,172,58,41,172,58,105,172,58,105,172,58,105,172,58,105,172,58,105,172,58,105,172,58,105,172,58,105,172,26,105,172,58,41,172,58,41,172,58,41,172,58,41,172,26,9
191,176,191,191,160,191,191,191,160,191,160,191,191,160,191,191,160,191,191,160,191,160,191,191,160,191,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,176,191,191,176,191,191,160,191,191,160,191,191,160,191,190,160,191,190,160,191,190,160,191,190,160,191,190,160,191,191,160,159,159,191,160,191,176,159,191,160,159,159,191,160,191,160,159,191,160,159,191,160,159,191,176,159,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,160,159,191,191,160,159,191,160,159,160,159,191,191,160,159,191,160,159,191,160,159,160,159,191,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,191,160,159,191,176,159,159,191,176,191,160,159,191,160,159,191,160,159,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191,191,160,191
196,79,139,132,79,154,154,132,79,132,79,154,196,79,154,196,79,154,196,79,154,95,154,196,95,154,132,132,95,154,132,95,154,132,95,154,132,95,154,132,95,154,132,95,155,132,95,155,132,95,155,132,95,155,132,95,155,132,95,155,132,95,155,132,95,155,132,95,154,196,95,154,196,95,154,154,196,95,196,95,154,196,95,154,154,196,95,196,95,154,132,95,154,132,95,154,132,95,154,132,95,154,132,95,154,132,95,154,132,95,154,132,95,154,132,95,154,132,95,155,132,95,154,132,95,154,132,95,154,132,95,154,95,154,132,132,79,154,132,79,154,79,154,132,132,95,155,132,95,155,132,95,154,95,154,132,132,95,154,132,95,154,132,95,154,132,95,154,132,95,155,132,95,155,132,95,155,132,95,155,155,132,95,132,95,154,132,95,154,132,95,154,196,79,138,196,79,154,196,95,154,196,95,154,196,95,154,196,95,154,196,95,154,196,95,154,196,95,154,196,95,154,196,95,154,196,95,154,196,95,154,196,95,154
226,177,241,226,177,241,241,226,241,226,241,241,226,241,241,226,241,241,226,241,241,177,241,226,177,241,226,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,241,226,177,226,177,241,226,177,241,241,226,177,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,177,241,226,226,177,241,226,177,241,177,241,226,226,177,241,226,177,241,226,177,245,177,241,226,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,226,177,241,241,226,177,226,177,241,226,177,241,226,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241,234,177,241
13,255,252,13,255,252,252,13,255,13,255,252,13,255,252,13,255,252,29,255,252,255,252,29,255,252,29,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,252,29,255,29,255,252,29,255,252,252,29,255,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,255,252,29,29,255,252,29,255,252,255,252,29,29,255,252,29,255,252,29,255,252,255,252,29,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,252,29,255,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252,29,255,252
255,191,123,255,175,123,127,255,187,255,191,127,255,191,127,255,191,127,255,191,127,191,127,255,191,127,255,255,191,127,255,139,127,255,191,127,255,191,127,255,191,127,255,175,127,255,175,127,255,191,127,255,175,127,255,187,127,255,191,127,255,191,127,255,191,127,255,175,127,255,191,127,255,191,127,127,255,191,255,191,127,255,175,127,127,255,175,255,191,127,255,171,127,255,175,127,255,175,127,255,191,127,255,175,127,255,191,127,255,191,127,255,191,127,255,191,127,255,159,127,255,191,127,255,191,127,255,191,127,255,191,127,191,127,255,255,187,127,255,191,127,191,127,255,255,175,127,255,191,127,255,191,127,191,127,255,255,191,127,255,175,127,255,191,127,255,191,127,255,175,127,255,175,127,255,187,127,255,191,127,127,255,191,255,191,127,255,187,127,255,191,127,255,191,123,255,175,127,255,191,127,255,191,127,255,191,127,255,191,127,191,191,127,255,191,127,255,187,127,255,175,127,255,187,127,255,191,127,255,191,127,255,191,127
