Timestamp(s),DataPattern(Byte),ActualVoltage(V),ActualTime(s),M1Faults(#),M2Faults(#),M3Faults(#)
1617998921,0,0.2513826715903195,10.006929159164429,4455,6009,2360
1617998939,0,0.25263270973845636,10.002867460250854,4407,5605,2289
1617998958,0,0.2512576677755059,10.007354497909546,4427,5770,2316
1617998976,0,0.2517576830347606,10.00629734992981,4437,5621,2275
1617998994,0,0.25188268684957427,10.003145456314087,4418,5818,2305
1617999013,0,0.25188268684957427,10.009737253189087,4493,5716,2316
1617999031,0,0.25263270973845636,10.006962537765503,4418,5063,2106
1617999049,0,0.25188268684957427,10.006469488143921,4453,5701,2299
1617999067,0,0.2517576830347606,10.008909702301025,4515,5738,2311
1617999085,0,0.25200769066438794,10.008323431015015,5424,6340,2435
1617999104,0,0.25163267921994686,10.008433103561401,5355,5671,2298
1617999122,0,0.2517576830347606,10.003198623657227,4474,5656,2291
1617999140,0,0.25188268684957427,10.006442070007324,4441,5496,2253
1617999158,0,0.25163267921994686,10.009812355041504,4465,5674,2268
1617999176,0,0.25163267921994686,10.005139589309692,4464,5817,2337
1617999195,0,0.25188268684957427,10.006284236907959,4446,5643,2299
1617999213,0,0.2517576830347606,10.003790378570557,4458,5659,2303
1617999231,0,0.25188268684957427,10.008711814880371,4431,5525,2254
1617999249,0,0.2517576830347606,10.006287097930908,4472,5670,2292
1617999268,0,0.25188268684957427,10.01185941696167,4427,5714,2318
1617999286,0,0.2513826715903195,10.004457950592041,4465,5735,2296
1617999304,0,0.2517576830347606,10.005559206008911,4505,5628,2276
1617999322,0,0.25200769066438794,10.006069660186768,4438,6286,2423
1617999341,0,0.2517576830347606,10.01184868812561,4411,5586,2280
1617999359,0,0.2517576830347606,10.007966995239258,4439,5496,2246
1617999377,0,0.2513826715903195,10.009481191635132,4432,5635,2242
1617999395,0,0.2517576830347606,10.00376272201538,4493,5469,2198
1617999413,0,0.25188268684957427,10.005406618118286,4433,5644,2294
1617999432,0,0.2517576830347606,10.009356021881104,4442,5617,2307
1617999450,0,0.25325772881252484,10.003051280975342,4433,4581,1956
1617999468,0,0.2517576830347606,10.00697135925293,4450,5490,2271
1617999486,0,0.2517576830347606,10.005746603012085,4428,5596,2294
1617999504,0,0.2517576830347606,10.004486799240112,4379,5481,2269
1617999523,0,0.25163267921994686,10.011325120925903,4498,5590,2260
1617999541,0,0.2513826715903195,10.007835388183594,4560,5672,2288
1617999559,0,0.25163267921994686,10.008513450622559,4528,6263,2438
1617999577,0,0.25188268684957427,10.010082721710205,4574,5599,2288
1617999596,0,0.25163267921994686,10.003551006317139,4590,5536,2266
1617999614,0,0.25188268684957427,10.008746147155762,4537,5764,2295
1617999632,0,0.2517576830347606,10.008445978164673,4537,5473,2252
1617999651,0,0.2517576830347606,10.005638360977173,4534,5558,2264
1617999669,0,0.25163267921994686,10.01158618927002,4560,5692,2318
1617999687,0,0.2517576830347606,10.004128456115723,4588,6222,2454
1617999705,0,0.25188268684957427,10.008752584457397,4562,5650,2301
1617999724,0,0.2517576830347606,10.010825872421265,4542,5454,2244
1617999742,0,0.25188268684957427,10.006394147872925,4585,5480,2253
1617999760,0,0.2517576830347606,10.008301019668579,4563,5619,2284
1617999778,0,0.2517576830347606,10.004496335983276,4550,5570,2280
1617999797,0,0.2513826715903195,10.004666328430176,4609,5699,2314
1617999815,0,0.25188268684957427,10.008267641067505,4568,5433,2255
1617999833,0,0.2515076754051332,10.00796127319336,4539,5444,2256
1617999852,0,0.2517576830347606,10.00717568397522,4558,5624,2274
1617999870,0,0.25163267921994686,10.008695602416992,4565,5478,2257
