#,Ion,LET (entrance),DUTs,File,Distance (cm),Time (s),VDD (V),Fluence (cm^-2),Avg I (mA?),Peak I (mA?),A1 SEUs,A2 SEUs,A3 SEUs,,,C1 SEUs,C2 SEUs,C3 SEUs,Dose (rad),TID (krad),SEU XS (1),SEU XS (2)
0,N,1.16,"H01, H02, H03, H04",data/sram/seu/H_check.csv,1,60,0.7,4.20E+06,,,0*,,,,,,,,78.05,0.08,#DIV/0!,
1,N,1.16,"H01, H02, H03, H04",data/sram/seu/H_check.csv,1,60,0.7,5.32E+06,,,0*,,,,,,,,98.86,0.18,#DIV/0!,
2,Ar,7.27,"H01, H02, H03, H04",data/sram/seu/H_Ar.csv,1,60,0.7,5.22E+06,,,144384,129024,137216,,,11264,,,607.95,0.78,2.62E-02,
3,Ar,7.27,"H01, H02, H03, H04",data/sram/seu/H_Ar.csv,1,60,0.7,5.46E+06,,,8192,7168,14336,,,142336,,,635.90,1.42,1.81E-03,
4,Ar,7.27,"H01, H02, H03, H04",data/sram/seu/H_Ar.csv,1,60,1,5.19E+06,,,6144,4096,3072,,,8192,,,604.46,2.03,8.55E-04,
5,Ar,7.27,"H01, H02, H03, H04",data/sram/seu/H_Ar.csv,1,60,1.3,5.34E+06,,,6144,2048,2048,,,4096,,,621.93,2.65,6.39E-04,
6,Ar,7.27,"H01, H02, H03, H04",data/sram/seu/H_Ar.csv,1,60,3.3,5.30E+06,,,3072,4096,3072,,,1024,,,617.27,3.26,6.44E-04,
7,Ar,7.27,"H01, H02, H03, H04",data/sram/seu/H_Ar_new.csv,1,60,0.7,5.70E+06,,,,,,,,,,,663.85,3.93,#DIV/0!,
8,Ar,7.27,"H01, H02, H03, H04",data/sram/seu/H_Ar_new.csv,1,60,1,5.71E+06,,,131072*,6755,131072*,,,12541,,,665.02,4.59,1.18E-03,
9,Ar,7.27,"H01, H02, H03, H04",data/sram/seu/H_Ar_new.csv,1,60,1.3,5.48E+06,,,,,,,,,,,638.23,5.23,#DIV/0!,
10,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,0.7,5.23E+06,,,24816,24745,23564,,,,,,609.11,0.61,4.66E-03,
11,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,0.7,5.11E+06,,,24476,23879,22624,,,,,,595.14,1.20,4.63E-03,
12,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,0.6,5.18E+06,,,21601,21923,20889,,,,,,603.29,1.81,4.14E-03,
13,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,1.5,6.36E+06,,,20691,18395,16824,,,,,,740.72,2.55,2.93E-03,
14,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,2.4,1.33E+05,,,,,,,,,,,15.49,2.56,#DIV/0!,
15,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,11,2.4,4.52E+05,,,????,,,,,,,,52.64,2.62,#DIV/0!,
16,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,10,2.4,4.36E+05,,,Suspected latchup,,,,,,,,50.78,2.67,#DIV/0!,
17,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,1.5,2.56E+06,,,8729,7503,7833,,,,,,298.15,2.97,3.13E-03,
18,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,0.9,1.64E+06,,,131072*,14050,13926,,,,,,191.00,3.16,8.53E-03,
19,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,0.9,2.53E+06,,,14474,14380,13755,,,,,,294.66,3.45,5.61E-03,
20,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,0.6,2.57E+06,,,11208,11020,10703,,,,,,299.32,3.75,4.27E-03,
21,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,1.2,2.56E+06,,,8743,8710,8670,,,,,,298.15,4.05,3.40E-03,
22,Ar,7.27,"I01, I02, I03",data/sram/seu/I_Ar.csv,1,60,1.2,2.56E+06,,,8866,8718,8903,,,,,,298.15,4.35,3.45E-03,
