Group,LET,Bias,SEUs,Fluence,XS,Error
I,1.16,0.6V,12025,1.46E+07,8.26E-04,7.53E-06
I,1.16,0.9V,6970.666667,1.07E+07,6.51E-04,7.80E-06
I,1.16,1.2V,4307,1.09E+07,3.95E-04,6.02E-06
I,1.16,1.5V,5764.666667,2.06E+07,2.80E-04,3.69E-06
I,1.54,0.6V,22850.66667,2.30E+07,9.94E-04,6.57E-06
I,1.54,0.9V,17595.33333,2.30E+07,7.65E-04,5.77E-06
I,1.54,1.2V,8685,1.38E+07,6.29E-04,6.75E-06
I,1.54,1.5V,5867.333333,1.38E+07,4.25E-04,5.55E-06
I,2.39,0.6V,8725.666667,6.12E+06,1.43E-03,1.53E-05
I,2.39,0.9V,6508.666667,6.09E+06,1.07E-03,1.32E-05
I,2.39,1.2V,5382,6.08E+06,8.85E-04,1.21E-05
I,2.39,1.5V,4684,6.06E+06,7.73E-04,1.13E-05
I,4.56,0.6V,8785.666667,3.71E+06,2.37E-03,2.53E-05
I,4.56,0.9V,7528.333333,3.62E+06,2.08E-03,2.40E-05
I,4.56,1.2V,5770.333333,3.77E+06,1.53E-03,2.01E-05
I,4.56,1.5V,18496,9.65E+06,1.92E-03,1.41E-05
I,6.61,0.6V,7751.333333,2.21E+06,3.51E-03,3.98E-05
I,6.61,0.9V,19916,4.64E+06,4.29E-03,3.04E-05
I,6.61,1.2V,8093,3.07E+06,2.64E-03,2.93E-05
I,6.61,1.5V,6997.333333,3.03E+06,2.31E-03,2.76E-05
I,7.27,0.6V,32448,7.75E+06,4.19E-03,2.32E-05
I,7.27,0.9V,28261.66667,4.19E+06,6.75E-03,4.01E-05
I,7.27,1.2V,17536.66667,5.12E+06,3.43E-03,2.59E-05
I,7.27,1.5V,26658.33333,8.92E+06,2.99E-03,1.83E-05
I,24.98,0.6V,9580.666667,5.77E+05,1.66E-02,1.70E-04
I,24.98,0.9V,13458.66667,6.01E+05,2.24E-02,1.93E-04
I,24.98,1.2V,14477,6.11E+05,2.37E-02,1.97E-04
I,24.98,1.5V,139061.3333,1.27E+06,1.10E-01,2.94E-04
F,1.16,0.6V,14200,1.79E+07,7.94E-04,6.66E-06
F,1.16,0.9V,7721.333333,1.26E+07,6.11E-04,6.95E-06
F,1.16,1.2V,4358.666667,1.16E+07,3.76E-04,5.69E-06
F,1.16,1.5V,3176,1.17E+07,2.71E-04,4.82E-06
F,1.54,0.6V,8686.666667,7.77E+06,1.12E-03,1.20E-05
F,1.54,0.9V,7737.333333,9.57E+06,8.08E-04,9.19E-06
F,1.54,1.2V,17612,2.83E+07,6.23E-04,4.69E-06
F,1.54,1.5V,4838.666667,1.16E+07,4.16E-04,5.99E-06
F,2.39,0.6V,7521.333333,5.63E+06,1.34E-03,1.54E-05
F,2.39,0.9V,5648,5.66E+06,9.98E-04,1.33E-05
F,2.39,1.2V,6028,7.21E+06,8.36E-04,1.08E-05
F,2.39,1.5V,5150.666667,7.24E+06,7.11E-04,9.91E-06
F,4.56,0.6V,30468,5.25E+06,5.80E-03,3.32E-05
F,4.56,0.9V,9950.666667,2.78E+06,3.58E-03,3.59E-05
F,4.56,1.2V,14022.66667,5.64E+06,2.49E-03,2.10E-05
F,4.56,1.5V,49413.33333,5.55E+06,8.90E-03,4.01E-05
F,7.27,0.6V,7982.666667,1.76E+06,4.54E-03,5.08E-05
F,7.27,0.9V,13910.66667,2.49E+06,5.59E-03,4.74E-05
F,7.27,1.2V,8204,2.51E+06,3.27E-03,3.61E-05
F,7.27,1.5V,8116,2.50E+06,3.25E-03,3.60E-05
G,1.16,0.6V,10543.33333,1.79E+07,5.89E-04,5.74E-06
G,1.16,0.9V,6246.666667,1.26E+07,4.94E-04,6.25E-06
G,1.16,1.2V,5137.666667,1.16E+07,4.43E-04,6.18E-06
G,1.16,1.5V,3705.666667,1.17E+07,3.17E-04,5.20E-06
G,1.54,0.6V,6606.666667,7.77E+06,8.50E-04,1.05E-05
G,1.54,0.9V,6221.666667,9.57E+06,6.50E-04,8.24E-06
G,1.54,1.2V,5900.666667,9.91E+06,5.95E-04,7.75E-06
G,1.54,1.5V,5978,1.16E+07,5.14E-04,6.65E-06
G,2.39,0.6V,6604,5.63E+06,1.17E-03,1.44E-05
G,2.39,0.9V,4917.666667,5.66E+06,8.69E-04,1.24E-05
G,2.39,1.2V,5607,7.21E+06,7.78E-04,1.04E-05
G,2.39,1.5V,5013.333333,7.24E+06,6.92E-04,9.78E-06
G,4.56,0.6V,17191.33333,5.25E+06,3.27E-03,2.50E-05
G,4.56,0.9V,7175.333333,2.78E+06,2.58E-03,3.05E-05
G,4.56,1.2V,11905,5.64E+06,2.11E-03,1.93E-05
