,F01,F02,F03,F04
0,0.24,0.24,0.21,0.24
1,0.24,0.24,0.2,0.24
2,0.24,0.24,0.225,0.24
3,0.255,0.24,0.21,0.24
4,0.24,0.24,0.185,0.24
5,0.24,0.24,0.25,0.24
6,0.24,0.24,0.2,0.375
7,0.24,0.24,0.195,0.24
8,0.24,0.2,0.2,0.205
9,0.24,0.205,0.205,0.195
10,0.24,0.185,0.19,0.195
11,0.24,0.235,0.19,0.2
12,0.24,0.19,0.195,0.25
13,0.24,0.195,0.21,0.19
14,0.24,0.2,0.2,0.19
15,0.4,0.19,0.2,0.2
16,0.24,0.2,0.195,0.285
17,0.24,0.215,0.195,0.19
18,0.24,0.195,0.2,0.195
19,0.24,0.19,0.195,0.21
20,0.24,0.25,0.215,0.19
21,0.24,0.21,0.19,0.2
22,0.24,0.26,0.21,0.195
23,0.27,0.205,0.195,0.19
24,0.24,0.2,0.2,0.195
25,0.24,0.195,0.2,0.195
26,0.24,0.2,0.2,0.185
27,0.24,0.2,0.19,0.195
28,0.24,0.185,0.19,0.215
29,0.24,0.195,0.195,0.185
30,0.24,0.215,0.195,0.19
31,0.24,0.22,0.19,0.21
32,0.24,0.235,0.2,0.21
33,0.24,0.235,0.19,0.23
34,0.24,0.235,0.21,0.21
35,0.24,0.235,0.2,0.19
36,0.24,0.235,0.22,0.205
37,0.24,0.235,0.215,0.195
38,0.24,0.235,0.2,0.195
39,0.24,0.235,0.195,0.23
40,0.24,0.25,0.265,0.195
41,0.24,0.195,0.195,0.205
42,0.24,0.205,0.185,0.205
43,0.24,0.195,0.195,0.2
44,0.24,0.185,0.19,0.23
45,0.24,0.205,0.225,0.21
46,0.24,0.21,0.19,0.19
47,0.24,0.225,0.2,0.215
48,0.24,0.205,0.19,0.19
49,0.24,0.195,0.2,0.2
50,0.24,0.215,0.2,0.2
51,0.24,0.2,0.2,0.205
52,0.24,0.195,0.19,0.21
53,0.24,0.195,0.2,0.2
54,0.24,0.2,0.2,0.2
55,0.24,0.26,0.195,0.19
56,0.24,0.195,0.195,0.195
57,0.24,0.195,0.195,0.215
58,0.24,0.2,0.19,0.2
59,0.24,0.215,0.205,0.195
60,0.24,0.195,0.2,0.21
61,0.24,0.195,0.185,0.2
62,0.24,0.2,0.22,0.19
63,0.24,0.19,0.195,0.26
64,0.24,0.225,0.19,0.19
