V,G01,G02,G03,G04
0.4,0.0,0.0,0.0,0.0
0.395,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0
0.385,0.0,0.0001220703125,0.0001220703125,0.0001220703125
0.38,0.0018310546875,0.00146484375,0.0013427734375,0.0018310546875
0.375,0.0224609375,0.0234375,0.0185546875,0.0140380859375
0.37,0.1265869140625,0.12548828125,0.0980224609375,0.1270751953125
0.365,0.489013671875,0.4820556640625,0.4354248046875,0.4678955078125
0.36,0.8724365234375,0.8486328125,0.8319091796875,0.8792724609375
0.355,0.99658203125,0.9920654296875,0.9866943359375,0.988525390625
0.35,0.9998779296875,1.0,1.0,0.9998779296875
0.345,1.0,1.0,0.9998779296875,1.0
0.34,0.9998779296875,0.9998779296875,1.0,1.0
0.335,1.0,0.999755859375,1.0,1.0
0.33,0.9996337890625,1.0,1.0,0.9998779296875
0.325,0.9998779296875,0.9998779296875,1.0,0.999755859375
0.32,0.9998779296875,0.9998779296875,1.0,0.9998779296875
0.315,0.999755859375,0.9998779296875,1.0,1.0
0.31,0.9998779296875,1.0,1.0,1.0
0.305,0.999755859375,1.0,0.9998779296875,1.0
0.3,0.9998779296875,1.0,1.0,1.0
0.295,1.0,1.0,0.9998779296875,1.0
0.29,0.9998779296875,1.0,0.999755859375,1.0
0.285,0.999755859375,1.0,1.0,0.9998779296875
0.28,0.9998779296875,1.0,1.0,1.0
0.275,1.0,1.0,1.0,1.0
