,H04,H03,H02,H01
0,0.651,0.659,0.663,0.657
1,0.648,0.659,0.662,0.658
2,0.652,0.658,0.658,0.657
3,0.653,0.658,0.662,0.657
4,0.651,0.659,0.663,0.657
5,0.653,0.658,0.661,0.661
6,0.653,0.657,0.661,0.658
7,0.653,0.657,0.663,0.657
8,0.653,0.656,0.66,0.658
9,0.652,0.658,0.661,0.657
10,0.653,0.657,0.663,0.656
11,0.654,0.66,0.663,0.657
12,0.651,0.657,0.663,0.659
13,0.653,0.659,0.661,0.657
14,0.651,0.657,0.662,0.659
15,0.654,0.658,0.662,0.659
16,0.65,0.658,0.664,0.657
17,0.653,0.655,0.663,0.653
18,0.651,0.657,0.66,0.657
19,0.653,0.657,0.66,0.657
20,0.653,0.657,0.661,0.657
21,0.653,0.657,0.662,0.657
22,0.654,0.657,0.663,0.657
23,0.654,0.655,0.663,0.656
24,0.654,0.657,0.663,0.659
25,0.651,0.657,0.662,0.657
26,0.651,0.658,0.662,0.659
27,0.651,0.658,0.661,0.656
28,0.653,0.657,0.661,0.656
29,0.653,0.657,0.659,0.659
30,0.652,0.657,0.663,0.657
31,0.65,0.657,0.663,0.657
32,0.653,0.658,0.663,0.659
33,0.652,0.656,0.663,0.656
34,0.651,0.656,0.662,0.656
35,0.653,0.658,0.663,0.657
36,0.651,0.657,0.66,0.657
37,0.652,0.658,0.661,0.657
38,0.648,0.654,0.665,0.657
39,0.653,0.657,0.663,0.659
40,0.653,0.659,0.662,0.656
41,0.653,0.659,0.661,0.66
42,0.651,0.66,0.663,0.657
43,0.652,0.654,0.66,0.656
44,0.653,0.657,0.662,0.657
45,0.652,0.655,0.662,0.657
46,0.651,0.659,0.66,0.657
47,0.651,0.66,0.662,0.658
48,0.65,0.659,0.662,0.657
49,0.653,0.657,0.663,0.656
50,0.652,0.655,0.664,0.657
51,0.653,0.657,0.664,0.654
52,0.652,0.656,0.661,0.659
53,0.653,0.655,0.664,0.659
54,0.651,0.659,0.661,0.657
55,0.652,0.658,0.661,0.659
56,0.653,0.66,0.662,0.657
57,0.653,0.659,0.662,0.657
58,0.654,0.657,0.663,0.658
59,0.653,0.657,0.661,0.657
60,0.653,0.658,0.662,0.657
61,0.653,0.658,0.662,0.657
62,0.65,0.658,0.663,0.657
63,0.653,0.658,0.66,0.659
64,0.653,0.659,0.661,0.659
65,0.653,0.66,0.662,0.657
66,0.653,0.659,0.66,0.658
67,0.653,0.657,0.661,0.657
68,0.655,0.657,0.664,0.657
69,0.653,0.658,0.661,0.659
70,0.653,0.658,0.663,0.657
71,0.651,0.658,0.661,0.658
72,0.652,0.656,0.661,0.657
73,0.653,0.658,0.665,0.657
74,0.651,0.655,0.663,0.657
75,0.652,0.656,0.662,0.659
76,0.653,0.655,0.664,0.658
77,0.653,0.659,0.66,0.658
78,0.652,0.658,0.661,0.657
79,0.652,0.658,0.66,0.659
80,0.651,0.658,0.662,0.658
81,0.65,0.657,0.662,0.658
82,0.652,0.659,0.661,0.658
83,0.653,0.657,0.661,0.661
84,0.652,0.658,0.662,0.656
85,0.651,0.658,0.66,0.659
86,0.653,0.658,0.661,0.66
87,0.654,0.658,0.66,0.658
