V,I01,I02,I04,I08,I05,I07,I09,I10,I11,I03,I12
0.38,0.0,0.0,0.0,0.0,0.0001220703125,0.0,0.0,0.0,0.0001220703125,0.686279296875,0.0
0.375,0.0,0.0,0.0,0.0,0.0001220703125,0.0,0.0,0.0,0.0001220703125,0.9822998046875,0.0
0.37,0.0,0.0,0.0,0.0,0.0001220703125,0.0,0.0,0.0,0.0001220703125,0.99951171875,0.0
0.365,0.0,0.0,0.0,0.0001220703125,0.0001220703125,0.0,0.0,0.0,0.0001220703125,1.0,0.0
0.36,0.0,0.0,0.0,0.0001220703125,0.0001220703125,0.0006103515625,0.0,0.0,0.0001220703125,1.0,0.0
0.355,0.0,0.0001220703125,0.0,0.0001220703125,0.0001220703125,0.0028076171875,0.0,0.0,0.0001220703125,1.0,0.0
0.35,0.0,0.0001220703125,0.0,0.0001220703125,0.0001220703125,0.004638671875,0.0,0.0,0.000244140625,1.0,0.0
0.345,0.0,0.0001220703125,0.0001220703125,0.000244140625,0.000244140625,0.0264892578125,0.0,0.0,0.000244140625,1.0,0.0
0.34,0.0001220703125,0.0001220703125,0.0003662109375,0.000244140625,0.000244140625,0.097900390625,0.0001220703125,0.0001220703125,0.0003662109375,0.9998779296875,0.0
0.335,0.000244140625,0.0001220703125,0.0003662109375,0.000244140625,0.000244140625,0.748779296875,0.0001220703125,0.0001220703125,0.0003662109375,1.0,0.0
0.33,0.0003662109375,0.0001220703125,0.0003662109375,0.0003662109375,0.000244140625,0.9993896484375,0.0001220703125,0.0001220703125,0.0003662109375,0.9998779296875,0.0001220703125
0.325,0.000732421875,0.0001220703125,0.00048828125,0.0003662109375,0.000244140625,0.9998779296875,0.000244140625,0.0001220703125,0.0003662109375,1.0,0.0001220703125
0.32,0.0010986328125,0.0001220703125,0.0006103515625,0.0003662109375,0.000244140625,1.0,0.000244140625,0.000244140625,0.0003662109375,1.0,0.000244140625
0.315,0.00439453125,0.000244140625,0.0006103515625,0.0003662109375,0.00048828125,0.9998779296875,0.000244140625,0.0003662109375,0.0003662109375,1.0,0.000244140625
0.31,0.02734375,0.00048828125,0.0008544921875,0.0003662109375,0.00048828125,1.0,0.000732421875,0.0003662109375,0.00048828125,1.0,0.000244140625
0.305,0.1824951171875,0.0006103515625,0.0013427734375,0.0003662109375,0.0006103515625,0.9998779296875,0.0006103515625,0.00048828125,0.0006103515625,0.9998779296875,0.00048828125
0.3,0.9888916015625,0.0008544921875,0.001708984375,0.0003662109375,0.0008544921875,0.9998779296875,0.0009765625,0.0006103515625,0.0006103515625,1.0,0.0006103515625
0.295,1.0,0.001220703125,0.0018310546875,0.000732421875,0.001220703125,0.9998779296875,0.0010986328125,0.000732421875,0.000732421875,1.0,0.000732421875
0.29,1.0,0.0018310546875,0.0020751953125,0.0008544921875,0.0015869140625,0.9996337890625,0.00146484375,0.0010986328125,0.001220703125,1.0,0.0008544921875
0.285,1.0,0.00244140625,0.0029296875,0.001220703125,0.0020751953125,1.0,0.002197265625,0.0018310546875,0.0018310546875,0.9998779296875,0.00146484375
0.28,0.9998779296875,0.0040283203125,0.00439453125,0.00146484375,0.002685546875,1.0,0.0032958984375,0.0028076171875,0.002685546875,1.0,0.0018310546875
0.275,1.0,0.0059814453125,0.00732421875,0.0020751953125,0.004638671875,0.9998779296875,0.00439453125,0.003662109375,0.0037841796875,1.0,0.002685546875
0.27,0.9998779296875,0.009033203125,0.013427734375,0.0032958984375,0.0059814453125,1.0,0.007080078125,0.006103515625,0.0059814453125,1.0,0.0042724609375
0.265,1.0,0.0157470703125,0.02880859375,0.0059814453125,0.009765625,0.9998779296875,0.0142822265625,0.00830078125,0.010009765625,0.9998779296875,0.007080078125
0.26,1.0,0.03759765625,0.070556640625,0.01220703125,0.0203857421875,1.0,0.0299072265625,0.013427734375,0.0157470703125,1.0,0.0142822265625
0.255,0.9998779296875,0.081787109375,0.1551513671875,0.0257568359375,0.0537109375,0.9998779296875,0.9991455078125,0.0250244140625,0.0216064453125,0.9998779296875,0.03662109375
0.25,0.9998779296875,0.181396484375,0.293701171875,0.059326171875,0.1593017578125,0.999755859375,0.725830078125,0.05078125,0.0643310546875,1.0,0.066650390625
0.245,1.0,0.344970703125,0.5150146484375,0.1700439453125,0.4287109375,0.9998779296875,0.9989013671875,0.1109619140625,0.122314453125,1.0,0.1016845703125
0.24,1.0,0.6014404296875,0.7705078125,0.3262939453125,0.7086181640625,1.0,0.424072265625,0.2720947265625,0.2109375,1.0,0.289306640625
0.235,1.0,0.8411865234375,0.9183349609375,0.4844970703125,0.901611328125,0.9998779296875,0.62353515625,0.6197509765625,0.6177978515625,1.0,0.7596435546875
0.23,0.9998779296875,0.9561767578125,0.9571533203125,0.8336181640625,0.9813232421875,1.0,0.848388671875,0.873046875,0.9176025390625,1.0,0.9544677734375
0.225,1.0,0.992919921875,0.9932861328125,0.9635009765625,0.999755859375,1.0,0.9803466796875,0.973876953125,0.98583984375,1.0,0.997314453125
0.22,0.9998779296875,0.9993896484375,0.999755859375,0.9989013671875,1.0,0.9998779296875,0.9951171875,0.9903564453125,0.9998779296875,1.0,0.999755859375
0.215,1.0,0.9998779296875,1.0,1.0,1.0,1.0,0.9993896484375,0.998779296875,0.9998779296875,0.9998779296875,1.0
0.21,1.0,1.0,1.0,,,,1.0,0.999755859375,0.9998779296875,1.0,1.0
