V,I09,I10,I11
0.4,0.0,0.0,0.0
0.395,0.0,0.0,0.0
0.39,0.0,0.0,0.0
0.385,0.0,0.0,0.0
0.38,0.0,0.0,0.0001220703125
0.375,0.0,0.0,0.0001220703125
0.37,0.0,0.0,0.0001220703125
0.365,0.0,0.0,0.0001220703125
0.36,0.0,0.0,0.0001220703125
0.355,0.0,0.0,0.0001220703125
0.35,0.0,0.0,0.000244140625
0.345,0.0,0.0,0.000244140625
0.34,0.0001220703125,0.0001220703125,0.0003662109375
0.335,0.0001220703125,0.0001220703125,0.0003662109375
0.33,0.0001220703125,0.0001220703125,0.0003662109375
0.325,0.000244140625,0.0001220703125,0.0003662109375
0.32,0.000244140625,0.000244140625,0.0003662109375
0.315,0.000244140625,0.0003662109375,0.0003662109375
0.31,0.000732421875,0.0003662109375,0.00048828125
0.305,0.0006103515625,0.00048828125,0.0006103515625
0.3,0.0009765625,0.0006103515625,0.0006103515625
0.295,0.0010986328125,0.000732421875,0.000732421875
0.29,0.00146484375,0.0010986328125,0.001220703125
0.285,0.002197265625,0.0018310546875,0.0018310546875
0.28,0.0032958984375,0.0028076171875,0.002685546875
0.275,0.00439453125,0.003662109375,0.0037841796875
0.27,0.007080078125,0.006103515625,0.0059814453125
0.265,0.0142822265625,0.00830078125,0.010009765625
0.26,0.0299072265625,0.013427734375,0.0157470703125
0.255,0.9991455078125,0.0250244140625,0.0216064453125
0.25,0.725830078125,0.05078125,0.0643310546875
0.245,0.9989013671875,0.1109619140625,0.122314453125
0.24,0.424072265625,0.2720947265625,0.2109375
0.235,0.62353515625,0.6197509765625,0.6177978515625
0.23,0.848388671875,0.873046875,0.9176025390625
0.225,0.9803466796875,0.973876953125,0.98583984375
0.22,0.9951171875,0.9903564453125,0.9998779296875
0.215,0.9993896484375,0.998779296875,0.9998779296875
0.21,1.0,0.999755859375,0.9998779296875
0.205,1.0,1.0,1.0
