V,I03,I12
0.5,0.0,0.0
0.495,0.0,0.0
0.49,0.0,0.0
0.485,0.0,0.0
0.48,0.0,0.0
0.475,0.0,0.0
0.47,0.0,0.0
0.465,0.0,0.0
0.46,0.0,0.0
0.455,0.0,0.0
0.45,0.0,0.0
0.445,0.0,0.0
0.44,0.0,0.0
0.435,0.0,0.0
0.43,0.0,0.0
0.425,0.0,0.0
0.42,0.0,0.0
0.415,0.0,0.0
0.41,0.0001220703125,0.0
0.405,0.000244140625,0.0
0.4,0.001220703125,0.0
0.395,0.0106201171875,0.0
0.39,0.0328369140625,0.0
0.385,0.1947021484375,0.0
0.38,0.686279296875,0.0
0.375,0.9822998046875,0.0
0.37,0.99951171875,0.0
0.365,1.0,0.0
0.36,1.0,0.0
0.355,1.0,0.0
0.35,1.0,0.0
0.345,1.0,0.0
0.34,0.9998779296875,0.0
0.335,1.0,0.0
0.33,0.9998779296875,0.0001220703125
0.325,1.0,0.0001220703125
0.32,1.0,0.000244140625
0.315,1.0,0.000244140625
0.31,1.0,0.000244140625
0.305,0.9998779296875,0.00048828125
0.3,1.0,0.0006103515625
0.295,1.0,0.000732421875
0.29,1.0,0.0008544921875
0.285,0.9998779296875,0.00146484375
0.28,1.0,0.0018310546875
0.275,1.0,0.002685546875
0.27,1.0,0.0042724609375
0.265,0.9998779296875,0.007080078125
0.26,1.0,0.0142822265625
0.255,0.9998779296875,0.03662109375
0.25,1.0,0.066650390625
0.245,1.0,0.1016845703125
0.24,1.0,0.289306640625
0.235,1.0,0.7596435546875
0.23,1.0,0.9544677734375
0.225,1.0,0.997314453125
0.22,1.0,0.999755859375
0.215,0.9998779296875,1.0
0.21,1.0,1.0
