,I01,I02,I04
0,0.3,0.245,0.255
1,0.3,0.245,0.27
2,0.3,0.25,0.245
3,0.305,0.285,0.255
4,0.305,0.24,0.255
5,0.305,0.245,0.24
6,0.3,0.24,0.245
7,0.3,0.225,0.25
8,0.3,0.235,0.24
9,0.305,0.245,0.24
10,0.3,0.24,0.235
11,0.3,0.235,0.26
12,0.3,0.24,0.24
13,0.3,0.235,0.255
14,0.3,0.23,0.25
15,0.3,0.235,0.245
16,0.3,0.24,0.235
17,0.3,0.245,0.24
18,0.3,0.26,0.255
19,0.3,0.245,0.265
20,0.3,0.255,0.235
21,0.3,0.24,0.26
22,0.3,0.24,0.26
23,0.3,0.25,0.25
24,0.3,0.245,0.255
25,0.3,0.245,0.245
26,0.3,0.235,0.25
27,0.3,0.24,0.235
28,0.3,0.235,0.245
29,0.3,0.245,0.245
30,0.3,0.245,0.235
31,0.3,0.25,0.24
32,0.3,0.255,0.24
33,0.3,0.275,0.255
34,0.3,0.245,0.24
35,0.3,0.235,0.235
36,0.305,0.245,0.245
37,0.3,0.235,0.25
38,0.3,0.235,0.235
39,0.3,0.255,0.235
40,0.3,0.25,0.24
41,0.31,0.24,0.25
42,0.3,0.23,0.235
43,0.3,0.235,0.245
44,0.3,0.235,0.225
45,0.3,0.23,0.26
46,0.3,0.24,0.225
47,0.3,0.245,0.24
48,0.305,0.255,0.245
49,0.3,0.24,0.24
50,0.3,0.24,0.24
51,0.3,0.245,0.26
52,0.3,0.225,0.255
53,0.3,0.24,0.225
54,0.305,0.24,0.235
55,0.3,0.235,0.24
56,0.3,0.245,0.27
57,0.3,0.245,0.235
58,0.305,0.245,0.24
59,0.3,0.24,0.225
60,0.3,0.24,0.23
61,0.305,0.255,0.24
62,0.3,0.24,0.25
63,0.305,0.225,0.25
64,0.3,0.24,0.245
65,0.3,0.24,0.235
66,0.3,0.235,0.24
67,0.3,0.24,0.23
68,0.305,0.245,0.225
69,0.305,0.25,0.255
70,0.305,0.25,0.24
71,0.3,0.245,0.25
72,0.305,0.225,0.245
73,0.305,0.24,0.265
74,0.3,0.255,0.245
75,0.305,0.25,0.25
76,0.3,0.23,0.235
77,0.3,0.245,0.255
78,0.3,0.255,0.25
79,0.305,0.245,0.245
80,0.305,0.235,0.24
81,0.3,0.24,0.255
82,0.315,0.25,0.28
83,0.305,0.26,0.255
84,0.3,0.24,0.26
85,0.305,0.26,0.24
86,0.3,0.24,0.245
87,0.3,0.23,0.235
88,0.3,0.25,0.24
89,0.3,0.26,0.24
90,0.315,0.24,0.24
91,0.3,0.25,0.24
92,0.3,0.24,0.25
93,0.3,0.25,0.25
94,0.3,0.23,0.24
95,0.3,0.235,0.24
96,0.3,0.24,0.255
97,0.3,0.235,0.225
98,0.3,0.23,0.255
99,0.3,0.24,0.255
100,0.3,0.23,0.245
101,0.3,0.235,0.23
102,0.3,0.245,0.24
103,0.305,0.245,0.245
104,0.3,0.235,0.235
105,0.3,0.26,0.24
106,0.3,0.25,0.23
107,0.3,0.24,0.245
108,0.3,0.24,0.255
109,0.3,0.24,0.255
110,0.3,0.235,0.265
111,0.3,0.235,0.245
112,0.3,0.23,0.245
113,0.3,0.235,0.25
114,0.3,0.25,0.25
115,0.3,0.24,0.25
116,0.3,0.23,0.25
117,0.3,0.25,0.26
118,0.3,0.245,0.245
119,0.31,0.24,0.24
120,0.3,0.24,0.245
121,0.3,0.25,0.25
122,0.3,0.24,0.24
123,0.3,0.24,0.245
124,0.3,0.245,0.245
125,0.3,0.245,0.255
126,0.3,0.235,0.26
127,0.3,0.24,0.255
128,0.3,0.245,0.24
129,0.305,0.24,0.24
130,0.3,0.235,0.225
131,0.305,0.24,0.255
132,0.3,0.24,0.235
133,0.305,0.235,0.26
134,0.3,0.235,0.24
135,0.31,0.24,0.24
136,0.305,0.235,0.24
137,0.3,0.235,0.25
138,0.3,0.235,0.255
139,0.3,0.24,0.25
140,0.3,0.245,0.235
141,0.3,0.25,0.255
142,0.3,0.24,0.24
143,0.3,0.25,0.235
144,0.31,0.245,0.245
145,0.305,0.25,0.245
146,0.31,0.24,0.24
147,0.3,0.24,0.24
148,0.3,0.25,0.245
149,0.305,0.235,0.245
150,0.3,0.255,0.24
151,0.3,0.25,0.25
152,0.3,0.26,0.235
153,0.3,0.24,0.245
154,0.3,0.235,0.245
155,0.31,0.25,0.26
156,0.3,0.255,0.245
157,0.31,0.235,0.245
158,0.3,0.23,0.255
159,0.305,0.24,0.25
160,0.3,0.22,0.245
161,0.3,0.245,0.245
162,0.3,0.26,0.24
163,0.3,0.255,0.245
164,0.305,0.245,0.24
165,0.3,0.245,0.24
166,0.3,0.235,0.23
167,0.3,0.235,0.24
168,0.305,0.24,0.26
169,0.3,0.235,0.24
170,0.3,0.24,0.255
171,0.31,0.25,0.24
172,0.3,0.24,0.255
173,0.3,0.245,0.245
174,0.305,0.23,0.255
175,0.305,0.24,0.24
176,0.3,0.235,0.24
177,0.31,0.24,0.26
178,0.305,0.245,0.235
179,0.3,0.245,0.24
180,0.305,0.24,0.25
