,I03,I12
0,0.39,0.24
1,0.39,0.23
2,0.39,0.235
3,0.39,0.235
4,0.39,0.24
5,0.39,0.23
6,0.39,0.23
7,0.39,0.23
8,0.375,0.25
9,0.375,0.235
10,0.375,0.24
11,0.385,0.23
12,0.375,0.235
13,0.38,0.23
14,0.385,0.235
15,0.385,0.24
16,0.385,0.235
17,0.38,0.235
18,0.38,0.235
19,0.38,0.245
20,0.375,0.235
21,0.38,0.235
22,0.38,0.225
23,0.38,0.235
24,0.38,0.235
25,0.38,0.24
26,0.395,0.235
27,0.385,0.23
28,0.38,0.235
29,0.38,0.23
30,0.395,0.235
31,0.38,0.25
32,0.375,0.23
33,0.385,0.24
34,0.375,0.235
35,0.375,0.24
36,0.38,0.245
37,0.385,0.235
38,0.375,0.23
39,0.385,0.23
40,0.375,0.24
41,0.38,0.235
42,0.38,0.24
43,0.38,0.23
44,0.38,0.235
45,0.385,0.245
46,0.38,0.235
47,0.375,0.235
48,0.38,0.25
49,0.385,0.24
50,0.385,0.235
51,0.38,0.24
52,0.38,0.24
53,0.37,0.235
54,0.385,0.245
55,0.38,0.25
56,0.38,0.255
57,0.385,0.235
58,0.38,0.235
59,0.38,0.235
60,0.395,0.235
61,0.385,0.23
62,0.38,0.25
63,0.38,0.235
64,0.375,0.235
65,0.375,0.23
66,0.38,0.235
67,0.38,0.235
68,0.375,0.235
69,0.385,0.24
70,0.385,0.235
71,0.375,0.25
72,0.375,0.225
73,0.385,0.235
74,0.385,0.235
75,0.38,0.24
76,0.385,0.235
77,0.38,0.235
78,0.375,0.25
79,0.375,0.23
80,0.375,0.235
81,0.375,0.235
82,0.38,0.235
83,0.38,0.24
84,0.38,0.24
85,0.38,0.24
86,0.375,0.235
87,0.38,0.23
88,0.38,0.23
89,0.38,0.245
90,0.38,0.25
91,0.38,0.24
92,0.38,0.235
93,0.385,0.245
94,0.38,0.235
95,0.385,0.235
96,0.38,0.24
97,0.385,0.235
98,0.375,0.24
99,0.38,0.235
100,0.385,0.24
101,0.385,0.235
102,0.38,0.23
103,0.38,0.235
104,0.38,0.235
105,0.385,0.235
106,0.38,0.24
107,0.375,0.235
108,0.38,0.235
109,0.385,0.24
110,0.38,0.235
111,0.385,0.245
112,0.38,0.235
113,0.38,0.24
114,0.38,0.23
115,0.38,0.235
116,0.38,0.23
117,0.38,0.235
118,0.38,0.235
119,0.39,0.24
120,0.375,0.235
121,0.375,0.24
122,0.38,0.235
123,0.375,0.235
124,0.385,0.235
125,0.375,0.23
126,0.38,0.24
127,0.38,0.235
128,0.385,0.235
129,0.385,0.245
130,0.38,0.235
131,0.375,0.245
132,0.38,0.235
133,0.39,0.24
134,0.38,0.23
135,0.38,0.23
136,0.38,0.24
137,0.375,0.235
138,0.38,0.235
139,0.395,0.24
140,0.375,0.24
141,0.385,0.235
142,0.38,0.235
143,0.385,0.235
144,0.38,0.23
145,0.38,0.24
146,0.38,0.23
147,0.375,0.24
148,0.385,0.245
149,0.385,0.24
150,0.38,0.235
151,0.4,0.24
152,0.38,0.235
153,0.375,0.235
154,0.395,0.24
155,0.38,0.24
156,0.385,0.235
157,0.375,0.24
158,0.375,0.24
159,0.375,0.275
160,0.385,0.25
161,0.38,0.235
162,0.385,0.225
163,0.38,0.24
164,0.38,0.235
165,0.38,0.255
166,0.38,0.23
167,0.385,0.235
168,0.38,0.245
169,0.38,0.24
170,0.38,0.235
171,0.38,0.24
172,0.38,0.24
173,0.385,0.23
174,0.38,0.265
175,0.38,0.24
176,0.385,0.235
177,0.375,0.255
178,0.38,0.235
179,0.38,0.235
180,0.375,0.24
181,0.385,0.24
182,0.385,0.235
183,0.38,0.235
184,0.385,0.24
185,0.38,0.24
186,0.38,0.235
187,0.38,0.235
188,0.385,0.23
189,0.38,0.235
190,0.385,0.235
191,0.38,0.235
192,0.385,0.235
193,0.385,0.24
194,0.38,0.23
195,0.375,0.255
196,0.375,0.24
197,0.38,0.24
198,0.375,0.24
199,0.385,0.245
200,0.385,0.225
201,0.38,0.235
202,0.385,0.235
203,0.38,0.235
204,0.38,0.23
205,0.385,0.23
206,0.38,0.24
207,0.38,0.24
208,0.38,0.235
209,0.385,0.24
210,0.38,0.235
211,0.38,0.235
212,0.375,0.245
213,0.375,0.235
214,0.385,0.235
215,0.38,0.235
216,0.385,0.235
217,0.38,0.235
218,0.38,0.235
219,0.38,0.235
220,0.38,0.235
221,0.385,0.235
222,0.375,0.24
223,0.375,0.25
224,0.375,0.23
225,0.38,0.235
226,0.38,0.235
227,0.38,0.25
228,0.385,0.24
229,0.38,0.235
230,0.38,0.24
231,0.385,0.24
232,0.38,0.235
233,0.375,0.24
234,0.385,0.235
235,0.38,0.235
236,0.38,0.235
237,0.38,0.235
238,0.39,0.235
239,0.38,0.235
240,0.38,0.235
241,0.38,0.225
242,0.38,0.235
243,0.38,0.235
244,0.375,0.235
245,0.385,0.235
246,0.38,0.26
247,0.375,0.25
248,0.38,0.235
249,0.385,0.24
250,0.38,0.245
251,0.38,0.26
252,0.39,0.245
253,0.385,0.235
254,0.375,0.24
255,0.38,0.24
256,0.38,0.24
257,0.38,0.245
258,0.38,0.235
